"Story","Title","Result","Date","Stability","Duration (s)"
"Dashboard Management","To verify that correct count is displayed in the work order tiles","FAILURE","2020-05-07T14:13:39.6563214+05:30[Asia/Calcutta]","0.0","60.52"
"Facility Management","Verify that the same name facility is not added twice in the same company","ERROR","2020-05-07T14:17:31.1195273+05:30[Asia/Calcutta]","0.0","32.29"
"User Management","Create an admin and cross verify the detail entered","ERROR","2020-05-07T14:22:03.1154065+05:30[Asia/Calcutta]","0.0","11.85"
"User Management","Edit an existing user from vendor list screen and cross verify the modification","ERROR","2020-05-07T14:22:43.9347144+05:30[Asia/Calcutta]","0.0","28.62"
"User Management","Edit an existing user from user list screen and cross verify the modification","ERROR","2020-05-07T14:23:12.5588818+05:30[Asia/Calcutta]","0.0","30.77"
"User Management","The functionality of ""Delete"" icon on the user list screen","ERROR","2020-05-07T14:26:02.7441254+05:30[Asia/Calcutta]","0.0","8.23"
"User Management","The functionality of ""Delete"" button on the user detail screen","ERROR","2020-05-07T14:26:10.9795801+05:30[Asia/Calcutta]","0.0","9.92"
"Vendor Management","Create a vendor and cross verify the detail entered","ERROR","2020-05-07T14:26:59.6071577+05:30[Asia/Calcutta]","0.0","8.81"
"Vendor Management","Edit an existing vendor from vendor list screen and cross verify the modification","FAILURE","2020-05-07T14:27:18.792492+05:30[Asia/Calcutta]","0.0","21.16"
"Vendor Management","Edit an existing vendor from vendor detail screen and cross verify the modification","ERROR","2020-05-07T14:27:39.9531295+05:30[Asia/Calcutta]","0.0","30.44"
"Vendor Management","Adding and editing a note to the Vendor","ERROR","2020-05-07T14:28:10.3914809+05:30[Asia/Calcutta]","0.0","11.6"
"Vendor Management","To verify the functionality of ""Delete"" icon on the list view page","ERROR","2020-05-07T14:29:37.3731666+05:30[Asia/Calcutta]","0.0","8.16"
"Vendor Management","To verify the functionality of ""Delete"" button on the detailed view page","ERROR","2020-05-07T14:29:45.538523+05:30[Asia/Calcutta]","0.0","9.88"
"Work Order Management","Filter the user list upon selecting work order status","ERROR","2020-05-07T14:31:28.2470849+05:30[Asia/Calcutta]","0.0","78.94"
"Work Order Management","Filter the user list upon selecting assignee","ERROR","2020-05-07T14:34:03.5874572+05:30[Asia/Calcutta]","0.0","76.64"
